A,B,C,D,E
0.19115253346,1.717553732004,0.086794836196667,0.440554358014949,0.731222337713
0.191699333791,1.739476397345,0.088949502957,0.440743306477447,0.758405832753
0.130583800367333,1.59771866808033,0.08852300279,0.439344945174184,0.744011492429
0.107722066348667,1.64381519914033,0.107519336629667,0.359990339328667,0.902055162097333
0.114982066712,1.768065470753,0.178338136754203,0.222276229957667,0.86880998644
0.190938333378667,1.66529548588627,0.167942882029667,0.337742483436,0.931309993668881
0.198755999549667,1.55070124211668,0.062175997487,0.375344076122333,1.0213989952919
0.195441067376333,1.64396653308298,0.091515327337,0.336367174423667,1.264255339318
0.195590597997,1.797811672594,0.092358320706,0.302546068301051,1.40992551448533
0.115711067100333,2.15688320648333,0.092604520927333,0.273961720482847,1.17995517546733
0.108137133014333,2.187116202907,0.078205435759667,0.281504223398061,0.979596840424666
0.108362999573667,2.11267633686467,0.179026001871,0.290045360464836,1.046362491131
0.175832933331667,2.15305612574633,0.136894835602,0.290436259621667,0.996679504355666
0.193625066356333,2.14174840658067,0.093760669293,0.261569521218915,0.954122156215
0.193362399295667,2.20241186072067,0.091076669446,0.295979407108333,0.910590324641333
0.123038066423,2.11468366445967,0.090324336265667,0.318070084778333,0.794299337805333
0.107208666622333,2.04707533447433,0.116254668177667,0.27335175774,0.847159333011667
0.108246132787,2.07208394500369,0.175447000963667,0.249814801175667,0.685955997548333
0.235357666477667,2.06206641241226,0.153994668076,0.247502806711449,0.686245321314333
0.296241266161,2.20480146656033,0.092294669407,0.245208343140276,0.804306655881333
0.215114999682333,2.15633506516667,0.094130835736333,0.194243857948667,0.791101155329
0.192307999515333,2.144897778045,0.095701335856667,0.179011693844,0.800516656544333
0.169381133643333,2.16361294140667,0.095313002468,0.180668573754667,0.684545496436
0.113723200222,2.16206006774667,0.188891668712333,0.235073219695667,0.73060491620122
0.113173466996,2.16445712903133,0.175699501565667,0.246410301620333,0.756211641171574
0.120176867323667,2.16031019463939,0.104276001985667,0.192898928677364,0.691385258191966
0.196340999283667,2.22289650901075,0.092489502187333,0.176946652046898,0.771803281119508
0.201923399067333,2.22272373626867,0.091048002121667,0.171293356613333,0.774361689659864
0.198986933351667,2.23452520648767,0.097268501719667,0.17223335302,0.802557989774
0.188682267062,2.21595506262133,0.151604002405333,0.17022249966,0.708183323552666
0.112681466985667,2.17783794054433,0.176984834306,0.189564161283,0.71554999396
0.114650000082,2.1815019374,0.144780501639333,0.254125799931667,0.831032783982721
0.118067532754333,2.12366706351367,0.096044501618667,0.30869080655417,1.27318898967681
0.181023066405667,2.15652629332261,0.09518463452226,0.279398764464536,0.746210173549333
0.197355400156,2.15709983640787,0.096478525842984,0.218287026886,0.704862831327666
0.198636866305333,2.28895672968767,0.103987167099667,0.217624086774,0.708316163463333
0.195771734519,2.46096652747733,0.172554997000333,0.217242513452333,0.899185165968
0.120522732993,2.20097253421733,0.169368162873,0.215241010188,1.04662966418767
0.115083933337,2.23806866169533,0.090712500848,0.214817956992,0.909819497321667
0.115638867288333,2.15279940078167,0.095089500819,0.214864310270666,0.888280834499667
0.160008666376,1.97781280209967,0.093970834258,0.224787106765333,0.917987336889667
0.201617732896,1.95805547403715,0.096310667355334,0.278992873500484,1.05976183527933
0.196335866289,2.047890404594,0.170096668617667,0.26951885267182,0.962330009274034
0.19389920036,2.310562995472,0.17688233496,0.216816420348666,0.904574495725667
0.137941200995667,1.91592260320867,0.131943500809667,0.214341086886,0.714210210131
0.109502533137333,1.76173046488833,0.096875833959667,0.214285830138,0.997213654735666
0.111514533167,1.67827086011867,0.09910166711,0.215933310401333,0.843728711850666
0.129353733446,1.69062613367033,0.099719667066,0.216833246856666,0.660062907532666
0.194229133422,1.59801753192333,0.132996834481667,0.265316379151643,0.416773932049333
0.191929066721667,1.59618286347797,0.16979678056922,0.256602247575398,0.474112484657864
0.198134867824333,1.64779450951489,0.153781967905508,0.213906347907898,0.509103717539525
0.259552200277,1.50457139998933,0.094858667150334,0.18289752424661,0.478188839294333
0.195639132681667,1.57741553604333,0.101453167002333,0.145039040335797,0.524992671205254
0.110194466235,1.536106002222,0.100146333791333,0.141641129788667,0.506066712100787
0.112986599950667,1.65594846081067,0.094681500803667,0.179775930597,0.557673797868666
0.179554532477,1.718527734225,0.203991830599,0.138361937469526,0.497049985140593
0.193688200263333,1.67458079476967,0.172149332068667,0.139322582003823,0.507688355905737
0.189670934484333,1.74634038914515,0.129097627892746,0.142890143219,0.996343049029
0.180438199229333,1.63483626003102,0.100807377229967,0.162802530281667,0.57061193687539
0.107387798894,1.51527913837633,0.101264500434667,0.199010005387667,0.531172469300667
0.106225532708667,1.50779759485267,0.098178500390333,0.204802554307333,0.461816915212333
0.105623000070667,1.52563586135633,0.134999834529333,0.602372988138333,0.495610652506666
0.157814599465333,1.53139226693167,0.171872332891,1.09512552078943,0.611615869021423
0.188646400944667,1.59603632906733,0.148988666213667,0.224116595555589,0.548994988523825
0.18901559906,1.69336399972433,0.099609333679667,0.296784044756333,0.431093618465
0.190967333794667,1.63139494051654,0.104430847524,0.514105587493333,0.420313775492
0.120647932548333,1.61276965912711,0.103045901792066,1.77377022036133,0.447592708317667
0.10784553289,1.49703293583733,0.102682000076,1.76614729079133,0.621715866419187
0.105874067375,1.55486086825333,0.193333326102667,1.61008152279566,0.496833752552787
